id,Name,Fueltype,Classification,Country,Capacity,lat,lon,Geoposition,File
0,Alfta,Hydro,Run-of-river,Sweden,20.0,61.341075,16.006847,"61.341075,16.006847",
1,Balforsens krv,Hydro,"Run-of-river, Reservoir",Sweden,105.0,64.652384,18.4948355,"64.652384,18.4948355",
2,Blasjön,Hydro,Run-of-river,Sweden,57.0,59.593787,14.354892,"59.593787,14.354892",
3,Dönje,Hydro,Run-of-river,Sweden,40.0,61.389765,16.388557,"61.389765,16.388557",
4,Edensforsen,Hydro,Run-of-river,Sweden,60.0,63.690491,16.872475,"63.690491,16.872475",
5,Forsmo,Hydro,"Run-of-river, Reservoir",Sweden,300.0,63.269749,17.204564,"63.269749,17.204564",
6,Grundforsen,Hydro,Run-of-river,Sweden,88.0,61.274285,12.852567,"61.274285,12.852567",
7,Gulsele,Hydro,"Run-of-river, Reservoir",Sweden,108.0,63.821222,17.145008,"63.821222,17.145008",
8,Harrsele,Hydro,Run-of-river,Sweden,200.0,64.000342,19.566667,"64.000342,19.566667",
9,Harspranget,Hydro,"Run-of-river, Reservoir",Sweden,660.0,66.885835,19.815838,"66.885835,19.815838",
10,Hjälta,Hydro,Run-of-river,Sweden,180.0,62.983391,17.866538,"62.983391,17.866538",
11,Hojum,Hydro,"Run-of-river, Reservoir",Sweden,370.0,58.280207,12.278508,"58.280207,12.278508",
12,Jarpströmm,Hydro,Run-of-river,Sweden,120.0,63.344498,13.460305,"63.344498,13.460305",
13,Kilforsen,Hydro,"Run-of-river, Reservoir",Sweden,855.0,63.556499,16.662825,"63.556499,16.662825",
14,Klippen,Hydro,Run-of-river,Sweden,25.0,56.123701,13.11603,"56.123701,13.11603",
15,Flottarselet korsselbränna,Hydro,Reservoir,Sweden,,,,,
16,St raijan korsselbränna,Hydro,"Run-of-river, Reservoir",Sweden,330.0,64.448953,15.5661333333,"64.448953,15.5661333333",
17,Krangede,Hydro,"Run-of-river, Reservoir",Sweden,180.0,63.146633,16.070333,"63.146633,16.070333",
18,Krokströmm,Hydro,Run-of-river,Sweden,50.0,65.0233,19.6888,"65.0233,19.6888",
19,Kvistforsen,Hydro,Run-of-river,Sweden,130.0,64.744883,20.863433,"64.744883,20.863433",
20,Laforsen,Hydro,"Run-of-river, Reservoir",Sweden,64.0,61.937373,15.521949,"61.937373,15.521949",
21,Langströmm,Hydro,Run-of-river,Sweden,40.0,62.106128,14.995905,"62.106128,14.995905",
22,Lasele,Hydro,"Run-of-river, Reservoir",Sweden,248.0,63.555408,16.840305,"63.555408,16.840305",
23,Ligga,Hydro,"Run-of-river, Reservoir",Sweden,340.0,65.586753,22.041857,"65.586753,22.041857",
24,Lossen,Hydro,"Run-of-river, Reservoir",Sweden,124.0,65.795329,22.570443,"65.795329,22.570443",
25,Messaure,Hydro,"Run-of-river, Reservoir",Sweden,480.0,66.683333,20.333333,"66.683333,20.333333",
26,Mittan,Hydro,Run-of-river,Sweden,88.0,62.455954,13.197702,"62.455954,13.197702",
27,Mockfjords,Hydro,Run-of-river,Sweden,12.0,60.501506,14.964287,"60.501506,14.964287",
28,Norränge kraftverk,Hydro,"Run-of-river, Reservoir",Sweden,80.0,61.489482,16.381977,"61.489482,16.381977",
29,Parteboda,Hydro,Run-of-river,Sweden,30.0,62.517539,15.691329,"62.517539,15.691329",
30,Porjus,Hydro,"Run-of-river, Reservoir",Sweden,304.0,66.961944,19.804167,"66.961944,19.804167",
31,Ramsele,Hydro,"Run-of-river, Reservoir",Sweden,300.0,63.541981,16.45496,"63.541981,16.45496",
32,Ritsem,Hydro,Run-of-river,Sweden,320.0,67.725763,17.474991,"67.725763,17.474991",
33,Saellsjoe,Hydro,Run-of-river,Sweden,106.0,63.237771,13.68504,"63.237771,13.68504",
34,Seitevare,Hydro,"Run-of-river, Reservoir",Sweden,450.0,66.976111,18.578056,"66.976111,18.578056",
35,Stalon,Hydro,Run-of-river,Sweden,100.0,64.94545,15.82789,"64.94545,15.82789",
36,Storfinfors,Hydro,Run-of-river,Sweden,70.0,63.597386,16.119386,"63.597386,16.119386",
37,Storrnorfors,Hydro,Run-of-river,Sweden,375.0,63.8525,20.051667,"63.8525,20.051667",
38,Tasan,Hydro,Run-of-river,Sweden,35.0,59.386351,13.569723,"59.386351,13.569723",
39,Torpshammar,Hydro,"Run-of-river, Reservoir",Sweden,172.0,62.49192,16.3470285,"62.49192,16.3470285",
40,Trängslet,Hydro,"Run-of-river, Reservoir",Sweden,490.0,61.384737,13.7354715,"61.384737,13.7354715",
41,Umluspen,Hydro,Run-of-river,Sweden,88.0,65.095,17.101667,"65.095,17.101667",
42,Vargforsen,Hydro,Run-of-river,Sweden,92.0,65.0233,19.6888,"65.0233,19.6888",
43,Vietas,Hydro,"Run-of-river, Reservoir",Sweden,640.0,67.489867,18.3323335,"67.489867,18.3323335",
44,Juktan,Hydro,Pumped Storage,Sweden,334.0,64.986262,17.739707,"64.986262,17.739707",
45,Kymmen,Hydro,Pumped Storage,Sweden,56.0,59.974327,12.757321,"59.974327,12.757321",
46,Letten,Hydro,"Pumped Storage, Reservoir",Sweden,108.0,60.711169,12.671745,"60.711169,12.671745",
47,Abelvattnet,Hydro,Reservoir,Sweden,4.6,65.545168,14.981899,"65.545168,14.981899",
48,Ajaure,Hydro,Reservoir,Sweden,75.0,65.509167,15.625556,"65.509167,15.625556",
49,Akkats,Hydro,Reservoir,Sweden,150.0,66.631389,19.819722,"66.631389,19.819722",
50,Älvkarleby,Hydro,Reservoir,Sweden,126.0,60.563681,17.44205,"60.563681,17.44205",
51,Anundsjö krv,Hydro,Reservoir,Sweden,,,,,
52,Asele,Hydro,Reservoir,Sweden,27.0,64.098361,17.306503,"64.098361,17.306503",
53,Asens krv,Hydro,Reservoir,Sweden,,61.28048,13.816319,"61.28048,13.816319",
54,Bassalt,Hydro,Reservoir,Sweden,,,,,
55,Bastusel,Hydro,Reservoir,Sweden,107.0,65.412145,18.657828,"65.412145,18.657828",
56,Batfors,Hydro,Reservoir,Sweden,42.0,64.832573,20.223732,"64.832573,20.223732",
57,Bergeforsen,Hydro,Reservoir,Sweden,168.0,62.518313,17.382675,"62.518313,17.382675",
58,Bjurfors nedre krv,Hydro,Reservoir,Sweden,78.0,,,,
59,Bjurfors Övre krv,Hydro,Reservoir,Sweden,,,,,
60,Blybergs kraftverk,Hydro,Reservoir,Sweden,15.0,61.146912,14.146147,"61.146912,14.146147",
61,Boden,Hydro,Reservoir,Sweden,78.0,65.826949,21.694374,"65.826949,21.694374",
62,Borgadammen,Hydro,Reservoir,Sweden,,64.820893,15.023253,"64.820893,15.023253",
63,Bullerforsen,Hydro,Reservoir,Sweden,,60.508889,15.436944,"60.508889,15.436944",
64,Dabbsjö,Hydro,Reservoir,Sweden,26.0,64.607742,15.465791,"64.607742,15.465791",
65,Degerforsens,Hydro,Reservoir,Sweden,63.0,63.684481,17.007345,"63.684481,17.007345",
66,Edsele,Hydro,Reservoir,Sweden,60.0,63.356465,16.597823,"63.356465,16.597823",
67,Eggsjön,Hydro,Reservoir,Sweden,500.0,,,,
68,Fagerassjön,Hydro,Reservoir,Sweden,,60.871975,12.884959,"60.871975,12.884959",
69,Flasjön,Hydro,Reservoir,Sweden,,,,,
70,Forshuvudforsen,Hydro,Reservoir,Sweden,44.0,60.535278,15.421944,"60.535278,15.421944",
71,Frykfors fryken,Hydro,Reservoir,Sweden,,59.363889,13.186111,"59.363889,13.186111",
72,Gallejaur,Hydro,Reservoir,Sweden,428.0,65.126453,19.469478,"65.126453,19.469478",
73,Gammelänge,Hydro,Reservoir,Sweden,78.0,63.141944,16.161111,"63.141944,16.161111",
74,Gardiken gardikfors,Hydro,Reservoir,Sweden,60.0,65.476969,15.856519,"65.476969,15.856519",
75,Gideabacka,Hydro,Reservoir,Sweden,,63.331136,19.126693,"63.331136,19.126693",
76,Granfors,Hydro,Reservoir,Sweden,40.0,,,,
77,Graninge,Hydro,Reservoir,Sweden,1.2,,,,
78,Grundfors,Hydro,Reservoir,Sweden,100.0,64.9687,17.54421,"64.9687,17.54421",
79,Grundsjöarna,Hydro,Reservoir,Sweden,,,,,
80,Grytfors,Hydro,Reservoir,Sweden,37.0,65.295466,19.11352,"65.295466,19.11352",
81,Hackren,Hydro,Reservoir,Sweden,,63.184389,13.584363,"63.184389,13.584363",
82,Hällby,Hydro,Reservoir,Sweden,168.0,63.879154,17.21992,"63.879154,17.21992",
83,Hällforsens,Hydro,Reservoir,Sweden,22.0,64.58337,18.69227,"64.58337,18.69227",
84,Halvfari,Hydro,Reservoir,Sweden,24.0,62.41656,13.531137,"62.41656,13.531137",
85,Hammarforsens,Hydro,Reservoir,Sweden,85.0,63.112909,16.354573,"63.112909,16.354573",
86,Harrsele,Hydro,Reservoir,Sweden,223.0,63.822835,20.266337,"63.822835,20.266337",
87,Hermansboda,Hydro,Reservoir,Sweden,12.0,62.5418,15.8434,"62.5418,15.8434",
88,Höljes,Hydro,Reservoir,Sweden,130.0,60.950833,12.547222,"60.950833,12.547222",
89,Hölleforsen,Hydro,Reservoir,Sweden,140.0,62.950833,16.667778,"62.950833,16.667778",
90,Horkoneryd,Hydro,Reservoir,Sweden,2.1,56.507879,15.141241,"56.507879,15.141241",
91,Järkvissle,Hydro,Reservoir,Sweden,88.0,62.80183,16.637707,"62.80183,16.637707",
92,Järpströmmens,Hydro,Reservoir,Sweden,120.0,63.344498,13.460305,"63.344498,13.460305",
93,Juktans,Hydro,Reservoir,Sweden,78.0,65.292975,17.2233,"65.292975,17.2233",
94,Karsefors,Hydro,Reservoir,Sweden,31.4,56.501729,13.11362,"56.501729,13.11362",
95,Kattstrupeforsen,Hydro,Reservoir,Sweden,56.0,63.326439,14.579856,"63.326439,14.579856",
96,Kinna,Hydro,Reservoir,Sweden,,57.509323,12.683843,"57.509323,12.683843",
97,Klavbens,Hydro,Reservoir,Sweden,,56.266873,14.550539,"56.266873,14.550539",
98,Klinte,Hydro,Reservoir,Sweden,,,,,
99,Knäred nedre,Hydro,Reservoir,Sweden,,,,,
100,Knäred Övre,Hydro,Reservoir,Sweden,,,,,
101,Krangfors,Hydro,Reservoir,Sweden,,,,,
102,Krokströmmen,Hydro,Reservoir,Sweden,50.0,65.0233,19.6888,"65.0233,19.6888",
103,Kvarnsveden,Hydro,Reservoir,Sweden,,,,,
104,Kvistforsens,Hydro,Reservoir,Sweden,130.0,64.744883,20.863433,"64.744883,20.863433",
105,Landafors,Hydro,Reservoir,Sweden,,,,,
106,Lanforsens,Hydro,Reservoir,Sweden,,60.537344,17.426014,"60.537344,17.426014",
107,Langbjörn,Hydro,Reservoir,Sweden,100.0,63.636707,16.797662,"63.636707,16.797662",
108,Langed,Hydro,Reservoir,Sweden,5.45,58.924253,12.307601,"58.924253,12.307601",
109,Langhag,Hydro,Reservoir,Sweden,,60.617876,17.431799,"60.617876,17.431799",
110,Langströmmen,Hydro,Reservoir,Sweden,40.0,62.106128,14.995905,"62.106128,14.995905",
111,Laxede,Hydro,Reservoir,Sweden,200.0,66.312241,20.791905,"66.312241,20.791905",
112,Leringsforsen,Hydro,Reservoir,Sweden,9.0,62.590859,16.40657,"62.590859,16.40657",
113,Letsi,Hydro,Reservoir,Sweden,456.0,66.501626,20.378115,"66.501626,20.378115",
114,Lima,Hydro,Reservoir,Sweden,,60.839612,13.409094,"60.839612,13.409094",
115,Ljusne strömmar,Hydro,Reservoir,Sweden,14.5,,,,
116,Lofssjön,Hydro,Reservoir,Sweden,,,,,
117,Lottefors,Hydro,Reservoir,Sweden,13.76,,,,
118,Lövöns,Hydro,Reservoir,Sweden,,63.747271,15.695559,"63.747271,15.695559",
119,Matfors,Hydro,Reservoir,Sweden,21.0,62.291942,17.381985,"62.291942,17.381985",
120,Midskog,Hydro,Reservoir,Sweden,150.0,63.242817,15.230605,"63.242817,15.230605",
121,Oldens krv Övre lilla mjölkvattnet,Hydro,Reservoir,Sweden,,,,,
122,Mockfjärd,Hydro,Reservoir,Sweden,12.0,60.501506,14.964287,"60.501506,14.964287",
123,Moforsens,Hydro,Reservoir,Sweden,139.0,63.368333,16.988333,"63.368333,16.988333",
124,Mörsils,Hydro,Reservoir,Sweden,40.0,63.349754,13.452623,"63.349754,13.452623",
125,Motala,Hydro,Reservoir,Sweden,3.7,58.560479,15.082435,"58.560479,15.082435",
126,Näs,Hydro,Reservoir,Sweden,19.0,60.175947,16.476576,"60.175947,16.476576",
127,Näverede,Hydro,Reservoir,Sweden,64.0,63.223555,15.320856,"63.223555,15.320856",
128,Nissaström,Hydro,Reservoir,Sweden,11.2,56.841854,13.008626,"56.841854,13.008626",
129,Noppikoski,Hydro,Reservoir,Sweden,10.0,61.489883,14.709516,"61.489883,14.709516",
130,Öjeforsen,Hydro,Reservoir,Sweden,27.0,62.486721,16.067976,"62.486721,16.067976",
131,Oldens krv Övre oldsjön,Hydro,Reservoir,Sweden,,,,,
132,Olidan,Hydro,Reservoir,Sweden,220.0,58.275,12.2725,"58.275,12.2725",
133,Parki,Hydro,Reservoir,Sweden,20.0,66.830913,18.97472,"66.830913,18.97472",
134,Pengfors krv,Hydro,Reservoir,Sweden,51.0,63.921437,19.667553,"63.921437,19.667553",
135,Porsi,Hydro,Reservoir,Sweden,280.0,66.428522,20.648053,"66.428522,20.648053",
136,Prästforsens krv,Hydro,Reservoir,Sweden,3.0,60.668611,17.076944,"60.668611,17.076944",
137,Randi,Hydro,Reservoir,Sweden,86.0,66.706406,19.516481,"66.706406,19.516481",
138,Ransaren,Hydro,Reservoir,Sweden,,65.232791,14.975094,"65.232791,14.975094",
139,Rätans krv,Hydro,Reservoir,Sweden,60.0,62.480646,14.504099,"62.480646,14.504099",
140,Rebnisjaure rebnis krv,Hydro,Reservoir,Sweden,64.0,66.499046,17.107241,"66.499046,17.107241",
141,Rengard,Hydro,Reservoir,Sweden,36.0,64.933513,20.046481,"64.933513,20.046481",
142,Rusfors,Hydro,Reservoir,Sweden,45.0,64.717559,18.242239,"64.717559,18.242239",
143,Sädvajaur sädva,Hydro,Reservoir,Sweden,31.0,66.467003,16.549485,"66.467003,16.549485",
144,Selsfors,Hydro,Reservoir,Sweden,61.0,64.221215,20.271177,"64.221215,20.271177",
145,Sikfors,Hydro,Reservoir,Sweden,40.0,65.525764,21.183168,"65.525764,21.183168",
146,Sils,Hydro,Reservoir,Sweden,12.0,,,,
147,Skagern – gullspang,Hydro,Reservoir,Sweden,40.0,58.986325,14.106716,"58.986325,14.106716",
148,Skallbergssjön,Hydro,Reservoir,Sweden,,,,,
149,Skallböle,Hydro,Reservoir,Sweden,46.0,62.364099,16.962161,"62.364099,16.962161",
150,Skedvi,Hydro,Reservoir,Sweden,38.0,60.398171,15.808669,"60.398171,15.808669",
151,Skogaby,Hydro,Reservoir,Sweden,,56.530556,13.183333,"56.530556,13.183333",
152,Skymnäs,Hydro,Reservoir,Sweden,15.6,,,,
153,Smedjemorasjön,Hydro,Reservoir,Sweden,,,,,
154,Solleftea,Hydro,Reservoir,Sweden,62.0,63.167911,17.277051,"63.167911,17.277051",
155,Spjutmo,Hydro,Reservoir,Sweden,35.0,61.083948,14.318083,"61.083948,14.318083",
156,Stadsforsen,Hydro,Reservoir,Sweden,139.0,62.990118,16.65472,"62.990118,16.65472",
157,Stenkullafors,Hydro,Reservoir,Sweden,58.0,64.29432,17.246873,"64.29432,17.246873",
158,Stennäs,Hydro,Reservoir,Sweden,7.0,,,,
159,Stensele,Hydro,Reservoir,Sweden,50.0,65.054381,17.231956,"65.054381,17.231956",
160,Stor foskvattnet,Hydro,Reservoir,Sweden,,63.932284,14.527523,"63.932284,14.527523",
161,Stora stensjön,Hydro,Reservoir,Sweden,95.0,64.165538,14.599142,"64.165538,14.599142",
162,Storavan bergnäs krv,Hydro,Reservoir,Sweden,,,,,
163,Storfinnforsens,Hydro,Reservoir,Sweden,112.0,63.597386,16.119386,"63.597386,16.119386",
164,Storjunktadammen,Hydro,Reservoir,Sweden,,,,,
165,Stornorrfors,Hydro,Reservoir,Sweden,1500.0,63.8525,20.051667,"63.8525,20.051667",
166,Strömmen,Hydro,Reservoir,Sweden,,,,,
167,Suorvadammen vietas,Hydro,Reservoir,Sweden,,67.521956,18.196317,"67.521956,18.196317",
168,Svartafors,Hydro,Reservoir,Sweden,,58.450011,15.491865,"58.450011,15.491865",
169,Svarthalsforsens,Hydro,Reservoir,Sweden,80.0,63.028896,16.569358,"63.028896,16.569358",
170,Sveg,Hydro,Reservoir,Sweden,,62.00902,14.206621,"62.00902,14.206621",
171,Trangfors,Hydro,Reservoir,Sweden,73.0,,,,
172,Traryd,Hydro,Reservoir,Sweden,14.4,56.584337,13.756098,"56.584337,13.756098",
173,Tuggen,Hydro,Reservoir,Sweden,110.0,64.479423,18.878073,"64.479423,18.878073",
174,Turinge,Hydro,Reservoir,Sweden,18.0,,,,
175,Tvärforsen,Hydro,Reservoir,Sweden,9.0,,,,
176,Untra,Hydro,Reservoir,Sweden,42.0,60.56421,17.439184,"60.56421,17.439184",
177,Vargfors,Hydro,Reservoir,Sweden,360.0,65.022723,19.679938,"65.022723,19.679938",
178,Vargön,Hydro,Reservoir,Sweden,35.3,58.355556,12.374444,"58.355556,12.374444",
179,Vässinkoski,Hydro,Reservoir,Sweden,,61.490515,14.712678,"61.490515,14.712678",
180,Viforsens,Hydro,Reservoir,Sweden,,62.311094,17.172947,"62.311094,17.172947",
181,Viggeby,Hydro,Reservoir,Sweden,1.03,58.469057,16.368458,"58.469057,16.368458",
182,Vittjärv,Hydro,Reservoir,Sweden,30.0,65.846755,21.553147,"65.846755,21.553147",
183,Vojmsjön,Hydro,Reservoir,Sweden,,,,,
184,Volgsjöfors,Hydro,Reservoir,Sweden,20.0,64.307632,15.71261,"64.307632,15.71261",
185,Yngeredsfors,Hydro,Reservoir,Sweden,18.8,57.0531,12.778165,"57.0531,12.778165",
186,Abjora,Hydro,Run-of-river,Norway,81.0,60.91725,9.379347,"60.91725,9.379347",
187,Alta,Hydro,"Run-of-river, Reservoir",Norway,250.0,69.72507,23.78191,"69.72507,23.78191",
188,Ana sira,Hydro,Run-of-river,Norway,100.0,58.2938,6.45037,"58.2938,6.45037",
189,Ardal,Hydro,Run-of-river,Norway,2.7,60.47622,5.77782,"60.47622,5.77782",
190,Aroy,Hydro,Run-of-river,Norway,90.0,61.27676,7.15457,"61.27676,7.15457",
191,Askara,Hydro,Run-of-river,Norway,40.0,61.81216,5.6624,"61.81216,5.6624",
192,Aura,Hydro,"Run-of-river, Reservoir",Norway,578.0,62.66478,8.52109,"62.66478,8.52109",
193,Bagn,Hydro,Run-of-river,Norway,44.0,60.82649,9.54995,"60.82649,9.54995",
194,Balmi,Hydro,Run-of-river,Norway,,,,,
195,Bardufoss,Hydro,Run-of-river,Norway,30.0,69.04369,18.58967,"69.04369,18.58967",
196,Bjorkasen,Hydro,Run-of-river,Norway,4.0,68.331945,16.790221,"68.331945,16.790221",
197,Borgund,Hydro,Run-of-river,Norway,160.0,61.05868,7.8192,"61.05868,7.8192",
198,Bratsberg,Hydro,"Run-of-river, Reservoir",Norway,244.0,63.37295,10.40757,"63.37295,10.40757",
199,Brattset,Hydro,Run-of-river,Norway,80.0,62.802448,10.013137,"62.802448,10.013137",
200,Brokke,Hydro,"Run-of-river, Reservoir",Norway,630.0,59.12563,7.5095,"59.12563,7.5095",
201,Byrte,Hydro,"Run-of-river, Reservoir",Norway,40.0,59.49612,7.83322,"59.49612,7.83322",
202,Daja,Hydro,Run-of-river,Norway,24.0,67.08824,16.05687,"67.08824,16.05687",
203,Dale,Hydro,Run-of-river,Norway,28.0,60.58344,5.81926,"60.58344,5.81926",
204,Dokka,Hydro,Run-of-river,Norway,44.0,60.8158,10.12151,"60.8158,10.12151",
205,Driva,Hydro,Run-of-river,Norway,140.0,62.62305,8.88949,"62.62305,8.88949",
206,Dynjanfoss,Hydro,Run-of-river,Norway,33.0,58.95158,8.39528,"58.95158,8.39528",
207,Fagerli,Hydro,Run-of-river,Norway,72.0,67.1193,16.07712,"67.1193,16.07712",
208,Fiskumfoss,Hydro,Run-of-river,Norway,39.0,64.540198,12.461974,"64.540198,12.461974",
209,Fjaeremsfoss,Hydro,Run-of-river,Norway,27.0,63.32211,10.43658,"63.32211,10.43658",
210,Floerli,Hydro,Run-of-river,Norway,160.0,59.015178,6.426101,"59.015178,6.426101",
211,Fortun +,Hydro,"Run-of-river, Reservoir",Norway,470.0,61.50511,7.70239,"61.50511,7.70239",
212,Fosse,Hydro,Run-of-river,Norway,22.0,60.58177,5.88682,"60.58177,5.88682",
213,Glomfjord,Hydro,Run-of-river,Norway,20.0,66.79696,14.00106,"66.79696,14.00106",
214,Grönsdal,Hydro,Run-of-river,Norway,24.0,60.4397,5.85949,"60.4397,5.85949",
215,Grytten,Hydro,Run-of-river,Norway,143.5,62.5024,7.77184,"62.5024,7.77184",
216,Hakvik,Hydro,Run-of-river,Norway,9.0,68.40382,17.42236,"68.40382,17.42236",
217,Harpefoss,Hydro,Run-of-river,Norway,92.0,61.58292,9.84108,"61.58292,9.84108",
218,Haverstad,Hydro,Run-of-river,Norway,23.0,58.50656,7.41948,"58.50656,7.41948",
219,Hekni,Hydro,Run-of-river,Norway,56.0,58.995,7.54729,"58.995,7.54729",
220,Hemsil,Hydro,Run-of-river,Norway,70.0,60.81118,8.64382,"60.81118,8.64382",
221,Hjartdola,Hydro,"Run-of-river, Reservoir",Norway,208.0,59.60456,8.71143,"59.60456,8.71143",
222,Hol,Hydro,Run-of-river,Norway,62.0,60.57795,8.40952,"60.57795,8.40952",
223,Holen,Hydro,Run-of-river,Norway,327.0,59.34647,7.24939,"59.34647,7.24939",
224,Hovatn,Hydro,Run-of-river,Norway,44.0,58.98293,7.66936,"58.98293,7.66936",
225,Hunderfoss,Hydro,Run-of-river,Norway,112.0,61.2171,10.43943,"61.2171,10.43943",
226,Hylen,Hydro,"Run-of-river, Reservoir",Norway,320.0,58.46507,6.54426,"58.46507,6.54426",
227,Jörundland,Hydro,Run-of-river,Norway,55.0,58.90642,8.23129,"58.90642,8.23129",
228,Kobbelv,Hydro,"Run-of-river, Reservoir",Norway,600.0,67.62319,15.59023,"67.62319,15.59023",
229,Kvilldal,Hydro,"Run-of-river, Reservoir",Norway,2480.0,59.52878,6.6542,"59.52878,6.6542",
230,Langavatn,Hydro,Run-of-river,Norway,500.0,66.33696,14.16666,"66.33696,14.16666",
231,Leirdöla,Hydro,Run-of-river,Norway,100.0,61.43771,7.24323,"61.43771,7.24323",
232,Lomen,Hydro,Run-of-river,Norway,54.0,61.13549,8.87932,"61.13549,8.87932",
233,Lomi,Hydro,Run-of-river,Norway,120.0,67.12103,16.10224,"67.12103,16.10224",
234,Lyse,Hydro,Run-of-river,Norway,170.0,59.05425,6.6266,"59.05425,6.6266",
235,Mar,Hydro,"Run-of-river, Reservoir",Norway,360.0,59.88463,8.68074,"59.88463,8.68074",
236,Matre,Hydro,"Run-of-river, Reservoir",Norway,426.0,60.8737,5.59122,"60.8737,5.59122",
237,Mauranger,Hydro,"Run-of-river, Reservoir",Norway,500.0,60.13162,6.3315,"60.13162,6.3315",
238,Mel,Hydro,Run-of-river,Norway,52.0,61.34671,6.55652,"61.34671,6.55652",
239,Mesna,Hydro,Run-of-river,Norway,37.5,61.11702,10.47094,"61.11702,10.47094",
240,Mosvik,Hydro,Run-of-river,Norway,37.0,63.72654,10.86853,"63.72654,10.86853",
241,Naddvik,Hydro,Run-of-river,Norway,100.0,61.18224,7.63551,"61.18224,7.63551",
242,Nedalfoss,Hydro,Run-of-river,Norway,25.0,,,,
243,Nore,Hydro,"Run-of-river, Reservoir",Norway,314.0,60.2577633333,8.97213333333,"60.2577633333,8.97213333333",
244,Nye osa,Hydro,Run-of-river,Norway,90.0,61.24625,11.74254,"61.24625,11.74254",
245,Oksenelvane,Hydro,Run-of-river,Norway,26.0,61.84183,5.80134,"61.84183,5.80134",
246,Oksla,Hydro,Run-of-river,Norway,240.0,60.1201,6.55664,"60.1201,6.55664",
247,Rendalen,Hydro,Run-of-river,Norway,47.0,61.8123,11.12142,"61.8123,11.12142",
248,"Rössaga, lower",Hydro,Run-of-river,Norway,240.0,,,,
249,"Rössaga, upper",Hydro,Run-of-river,Norway,225.0,,,,
250,Savtso,Hydro,Run-of-river,Norway,150.0,69.75,23.733333,"69.75,23.733333",
251,Siso,Hydro,Run-of-river,Norway,92.0,67.32504,15.70731,"67.32504,15.70731",
252,Sjönsta,Hydro,Run-of-river,Norway,63.0,67.19455,15.70855,"67.19455,15.70855",
253,Skibotn,Hydro,Run-of-river,Norway,72.0,69.31533,20.35819,"69.31533,20.35819",
254,Skjomen,Hydro,"Run-of-river, Reservoir",Norway,500.0,68.20376,17.36071,"68.20376,17.36071",
255,Solbjonnsfjord,Hydro,Run-of-river,Norway,8.0,59.961667,5.210278,"59.961667,5.210278",
256,Sorfjord,Hydro,Run-of-river,Norway,44.0,68.06446,16.6638,"68.06446,16.6638",
257,Strielva,Hydro,Run-of-river,Norway,1.7,68.61086,15.0,"68.61086,15.0",
258,Sundsbarm,Hydro,Run-of-river,Norway,200.0,59.49762,8.63427,"59.49762,8.63427",
259,Svartisen,Hydro,"Run-of-river, Reservoir",Norway,1300.0,66.7282,13.91351,"66.7282,13.91351",
